File,aid,Date,2061,2062,2065,2066,2111,2116,2118,2120,2122,2175,2185,2186,2189,2190,2239,2257,2258,2261,2262,2321,2322,2325,2326,2367,2376,2378,2380,2382,2431,2445,2446,2449,2450,2495,2517,2518,2521,2522,2559,3098,3102,3135,3154,3158,3222,3226,3294,3298,3358,3362,3414,3418,3482,3486,3519,3554,3558,3583,4109,4110,4113,4114,4159,4164,4168,4223,4369,4370,4373,4415,5146,5150,5183,5206,5406,5410,6158,6162,6207,6212,6216,6271,6417,6418,6421,6422,6463,7194,7198,7231,7250,7454,7487,34842,34892,34894,34896,34961,34962,34965,34966,35007,35033,35034,35037,35038,35071,35097,35098,35101,35102,35135,35152,35154,35156,35158,35199,35221,35222,35225,35226,35263,35293,35294,35297,35298,35327,35930,35934,35998,36002,36031,36070,36074,36134,36190,36194,36258,36262,36287,36330,36334,36351,36889,36940,36944,37145,37146,37149,37150,37183,38182,38186,38207,38988,39039,39193,39194,39197,40230
_250m_16_days_VI_Quality_2021353_aid0001,aid0001,2021-12-19 00:00:00+00:00,,40674.0,,64066.0,21.0,17,,657.0,,,180.0,,4705.0,,,,,44.0,,,,,,,44.0,13.0,914.0,,,3458.0,153.0,18805.0,,6.0,385.0,414.0,7944.0,801.0,3.0,4692.0,29562.0,4.0,20.0,38.0,,,,,,,53.0,127.0,163.0,466.0,,392.0,2517.0,2.0,,3868.0,,17501.0,2.0,,2430.0,,89.0,,1549.0,,519.0,1192.0,,,,,179.0,361.0,,,,,,,151.0,8.0,,57.0,92.0,,,,,,,,,16.0,,105.0,,,,,111.0,,,,,,,,52.0,29.0,247.0,,,1058.0,254.0,5420.0,,4.0,363.0,583.0,6962.0,1374.0,5.0,25.0,,4.0,,,,28.0,,81.0,2.0,288.0,25.0,,483.0,1478.0,1.0,,,131.0,62.0,,1762.0,,,,,,,,,,81.0,28.0
_250m_16_days_VI_Quality_2022001_aid0001,aid0001,2022-01-01 00:00:00+00:00,60.0,9267.0,,2071.0,2.0,166315,4.0,,,,245.0,,,,,,,4.0,,231.0,,,,,23317.0,,,,,2296.0,9.0,109.0,,,68.0,46.0,333.0,17.0,,1725.0,836.0,,,,,,,,,,,,25.0,,,97.0,88.0,,,326.0,,171.0,,16173.0,,104.0,907.0,,16.0,1.0,8.0,8.0,,,,,4.0,,,1443.0,,116.0,14.0,,,,2.0,,,,,,,,426.0,,,,,8.0,,,,,9.0,,,12.0,,,,,1543.0,,,,1.0,455.0,,23.0,,,9.0,20.0,302.0,75.0,,,,,,,,,,,,,,,9.0,76.0,,,345.0,,571.0,,21.0,,,,,,21.0,,16.0,,,
_250m_16_days_VI_Quality_2022017_aid0001,aid0001,2022-01-17 00:00:00+00:00,,1554.0,60.0,293.0,,188513,155.0,4918.0,20.0,5.0,925.0,98.0,464.0,,,16.0,,4.0,,9.0,8.0,,,,8043.0,185.0,173.0,8.0,,464.0,41.0,132.0,,,44.0,24.0,4.0,,,198.0,109.0,,,81.0,65.0,,,,,,8.0,4.0,21.0,12.0,,,42.0,,,114.0,,4.0,,18726.0,,141.0,54.0,,,,,,,,,,,,,1341.0,,82.0,,,,,,,,,,,,,927.0,53.0,156.0,73.0,,42.0,,,,,,,,,,,,,1292.0,12.0,53.0,16.0,,191.0,17.0,,,,,,,,,,,,,,,,4.0,29.0,13.0,,,,,4.0,,,212.0,,76.0,,,,,,,,65.0,3.0,,,,
_250m_16_days_VI_Quality_2022033_aid0001,aid0001,2022-02-02 00:00:00+00:00,,9672.0,,4822.0,,37778,198.0,12138.0,,,72366.0,598.0,9917.0,,,101.0,119.0,1009.0,63.0,,,,,,6324.0,221.0,948.0,,,23790.0,1104.0,5218.0,17.0,,125.0,187.0,148.0,199.0,,1977.0,1920.0,,222.0,290.0,181.0,69.0,52.0,55.0,4.0,,29.0,49.0,582.0,344.0,,134.0,167.0,1.0,,1501.0,,2609.0,,11172.0,5520.0,,1624.0,,1515.0,,162.0,131.0,,,,,85.0,222.0,,574.0,30.0,,122.0,,4.0,,,23.0,4.0,,,,,,291.0,4.0,83.0,1665.0,,295.0,28.0,,37.0,4.0,150.0,,,,,,,,414.0,24.0,46.0,4.0,,4047.0,74.0,396.0,37.0,,149.0,172.0,253.0,647.0,,5.0,,114.0,17.0,,,,,13.0,4.0,428.0,190.0,,392.0,208.0,,,564.0,509.0,434.0,33.0,169.0,,,,,,32.0,,32.0,,,
_250m_16_days_VI_Quality_2022049_aid0001,aid0001,2022-02-18 00:00:00+00:00,42.0,271.0,,82.0,,186664,133.0,9731.0,172.0,,558.0,,4455.0,111.0,,,,,,23.0,,,,,4242.0,5.0,273.0,41.0,,279.0,4.0,347.0,20.0,,12.0,,8.0,,,54.0,12.0,,12.0,16.0,,4.0,,,,,12.0,,4.0,6.0,,,4.0,,,4.0,,,,19186.0,1845.0,5.0,32.0,,17.0,,,,,,,,,,,1307.0,64.0,1.0,,,,,,,,,,,,,,,86.0,,,25.0,,,,,,,,,,,,,,5.0,44.0,,,37.0,,56.0,,,13.0,,7.0,,,,,,,,,,,,,36.0,17.0,,4.0,,,,,,,,12.0,,,,,,,,,,,
_250m_16_days_VI_Quality_2022065_aid0001,aid0001,2022-03-06 00:00:00+00:00,,26823.0,,2328.0,1.0,64353,20.0,455.0,,,13477.0,240.0,4042.0,45.0,,83.0,4.0,,,,,,,,29074.0,,98.0,,,31062.0,691.0,2429.0,60.0,1.0,367.0,182.0,48.0,55.0,,10157.0,1188.0,,8.0,49.0,476.0,845.0,21.0,25.0,,,20.0,29.0,840.0,1723.0,,205.0,691.0,,,5540.0,40.0,861.0,,6008.0,808.0,,1853.0,,254.0,,724.0,24.0,,,,,194.0,20.0,,447.0,,,165.0,,4.0,,,126.0,4.0,,,,,,1423.0,,24.0,1454.0,,215.0,,,24.0,,4.0,,,,,,,,3046.0,,37.0,,,7716.0,53.0,328.0,177.0,,289.0,73.0,24.0,137.0,,9.0,,37.0,195.0,,,,,70.0,38.0,513.0,680.0,,176.0,141.0,,105.0,1043.0,157.0,2277.0,,171.0,,,,,,,,473.0,,4.0,
_250m_16_days_VI_Quality_2022081_aid0001,aid0001,2022-03-22 00:00:00+00:00,,1141.0,,239.0,,170781,,61.0,,,8860.0,8.0,2323.0,,,,,21.0,,17.0,,,,,15265.0,,,,,3301.0,4.0,136.0,,,30.0,8.0,21.0,,,440.0,106.0,,193.0,,111.0,65.0,,77.0,,,160.0,,161.0,16.0,,6.0,,,,49.0,,32.0,,20370.0,65.0,,320.0,,,,4.0,,,,,,,4.0,,1143.0,,,53.0,,,,,,,,,,,,1099.0,,,77.0,,218.0,,,,,,,,,,,,,1712.0,,,,,506.0,4.0,156.0,,,,4.0,18.0,,,,,29.0,40.0,,,72.0,,44.0,,28.0,50.0,,14.0,5.0,,,517.0,,130.0,,17.0,,,,,,40.0,,29.0,,,
_250m_16_days_VI_Quality_2022097_aid0001,aid0001,2022-04-07 00:00:00+00:00,29.0,482.0,,134.0,,121851,,41285.0,,,21179.0,,10756.0,,1.0,,,220.0,,,,,,,6395.0,,99.0,,,1789.0,,308.0,,,12.0,,8.0,,,127.0,12.0,,,,,,,16.0,,,,,2.0,,,,,,28.0,256.0,,150.0,,17040.0,3645.0,1.0,546.0,,32.0,,37.0,16.0,,,,,29.0,,,694.0,194.0,,24.0,,,,,,,,,,,,929.0,,,117.0,,,,,,,28.0,,,,,,,,398.0,,4.0,,,320.0,,,,,8.0,,34.0,,,,,,,,,,,,,,,,,,,,413.0,25.0,479.0,,40.0,,,,,,138.0,,70.0,,,
_250m_16_days_VI_Quality_2022113_aid0001,aid0001,2022-04-23 00:00:00+00:00,,,,,,208692,,365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19541.0,399.0,13.0,,,,,,,,,,,,,,1324.0,57.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
