File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13Q1_061__250m_16_days_NDVI_doy2021353000000_aid0001,_250m_16_days_NDVI,aid0001,2021-12-19,230352.0,-0.1616,0.9994,"(-0.1616,0.9994)",0.6508964,0.1902509,0.0361954,0.7972,0.9994,0.6758,0.1143,0.5239
MOD13Q1_061__250m_16_days_NDVI_doy2022001000000_aid0001,_250m_16_days_NDVI,aid0001,2022-01-01,230174.0,-0.2,0.9994,"(-0.2,0.9994)",0.8430646,0.1047294,0.0109683,0.8876,0.9452,0.8793,0.7916,0.8492
MOD13Q1_061__250m_16_days_NDVI_doy2022017000000_aid0001,_250m_16_days_NDVI,aid0001,2022-01-17,230169.0,-0.1994,0.9983,"(-0.1994,0.9983)",0.8630406,0.0908067,0.0082459,0.8997,0.9499,0.8923,0.816,0.8662
MOD13Q1_061__250m_16_days_NDVI_doy2022033000000_aid0001,_250m_16_days_NDVI,aid0001,2022-02-02,230399.0,-0.0802,0.9992,"(-0.0802,0.9992)",0.8189374,0.1235393,0.015262,0.9003,0.9992,0.8564,0.6146,0.786
MOD13Q1_061__250m_16_days_NDVI_doy2022049000000_aid0001,_250m_16_days_NDVI,aid0001,2022-02-18,230394.0,-0.1915,0.9988,"(-0.1915,0.9988)",0.8338611,0.0792896,0.0062868,0.8639,0.9071,0.8541,0.7919,0.8351
MOD13Q1_061__250m_16_days_NDVI_doy2022065000000_aid0001,_250m_16_days_NDVI,aid0001,2022-03-06,230398.0,-0.1948,0.9992,"(-0.1948,0.9992)",0.7950954,0.1214356,0.0147466,0.874,0.9992,0.8376,0.5705,0.7526
MOD13Q1_061__250m_16_days_NDVI_doy2022081000000_aid0001,_250m_16_days_NDVI,aid0001,2022-03-22,230400.0,-0.1707,0.999,"(-0.1707,0.999)",0.8603187,0.0721393,0.0052041,0.9014,0.9894,0.8853,0.7539,0.8424
MOD13Q1_061__250m_16_days_NDVI_doy2022097000000_aid0001,_250m_16_days_NDVI,aid0001,2022-04-07,230398.0,-0.1598,0.9991,"(-0.1598,0.9991)",0.8434144,0.067293,0.0045283,0.8834,0.9658,0.854,0.7457,0.8283
MOD13Q1_061__250m_16_days_NDVI_doy2022113000000_aid0001,_250m_16_days_NDVI,aid0001,2022-04-23,230378.0,-0.2,0.998,"(-0.2,0.998)",0.86055,0.0622824,0.0038791,0.8849,0.9218,0.8762,0.8234,0.8603
MOD13Q1_061__250m_16_days_NDVI_doy2022129000000_aid0001,_250m_16_days_NDVI,aid0001,2022-05-09,230370.0,-0.1937,0.979,"(-0.1937,0.979)",0.8474264,0.0626536,0.0039255,0.8712,0.9052,0.8606,0.8145,0.8485
