File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13Q1_061__250m_16_days_NDVI_doy2017353000000_aid0001,_250m_16_days_NDVI,aid0001,2017-12-19,30.0,0.8027,0.8858,"(0.8027,0.8858)",0.8584033,0.0245629,0.0006033,0.8743,0.8858,0.86965,0.821,0.850575
MOD13Q1_061__250m_16_days_NDVI_doy2018001000000_aid0001,_250m_16_days_NDVI,aid0001,2018-01-01,30.0,0.7742,0.8608,"(0.7742,0.8608)",0.8263667,0.0186378,0.0003474,0.8413,0.8608,0.8222,0.7889,0.8175
MOD13Q1_061__250m_16_days_NDVI_doy2018017000000_aid0001,_250m_16_days_NDVI,aid0001,2018-01-17,30.0,0.7103,0.8759,"(0.7103,0.8759)",0.82396,0.0447033,0.0019984,0.8602,0.8759,0.84375,0.7103,0.783775
MOD13Q1_061__250m_16_days_NDVI_doy2018033000000_aid0001,_250m_16_days_NDVI,aid0001,2018-02-02,30.0,0.6916,0.8763,"(0.6916,0.8763)",0.8294567,0.0452152,0.0020444,0.8602,0.8763,0.84245,0.7661,0.809
MOD13Q1_061__250m_16_days_NDVI_doy2018049000000_aid0001,_250m_16_days_NDVI,aid0001,2018-02-18,30.0,0.6816,0.8555,"(0.6816,0.8555)",0.8024333,0.0444559,0.0019763,0.8348,0.8555,0.81655,0.7102,0.778525
MOD13Q1_061__250m_16_days_NDVI_doy2018065000000_aid0001,_250m_16_days_NDVI,aid0001,2018-03-06,30.0,0.7449,0.8904,"(0.7449,0.8904)",0.8408433,0.0416819,0.0017374,0.8711,0.8904,0.8541,0.76,0.825725
MOD13Q1_061__250m_16_days_NDVI_doy2018081000000_aid0001,_250m_16_days_NDVI,aid0001,2018-03-22,30.0,0.6363,0.8667,"(0.6363,0.8667)",0.8069267,0.0593371,0.0035209,0.854925,0.8667,0.8341,0.6546,0.769225
MOD13Q1_061__250m_16_days_NDVI_doy2018097000000_aid0001,_250m_16_days_NDVI,aid0001,2018-04-07,30.0,0.3188,0.9007,"(0.3188,0.9007)",0.7455533,0.1556347,0.0242221,0.8525,0.9007,0.8105,0.6222,0.6764
MOD13Q1_061__250m_16_days_NDVI_doy2018113000000_aid0001,_250m_16_days_NDVI,aid0001,2018-04-23,30.0,0.7829,0.8727,"(0.7829,0.8727)",0.8325967,0.0270665,0.0007326,0.8554,0.8727,0.832,0.7829,0.8205
MOD13Q1_061__250m_16_days_NDVI_doy2018129000000_aid0001,_250m_16_days_NDVI,aid0001,2018-05-09,30.0,0.6689,0.8388,"(0.6689,0.8388)",0.7974933,0.0354015,0.0012533,0.82525,0.8388,0.8057,0.7344,0.783925
