File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13Q1_061__250m_16_days_NDVI_doy2000049000000_aid0001,_250m_16_days_NDVI,aid0001,2000-02-18,9216.0,0.0244,0.9299,"(0.0244,0.9299)",0.5785604,0.1348242,0.0181776,0.66385,0.9299,0.5646,0.2244,0.4845
MOD13Q1_061__250m_16_days_NDVI_doy2000065000000_aid0001,_250m_16_days_NDVI,aid0001,2000-03-05,9216.0,0.1614,0.9844,"(0.1614,0.9844)",0.5498039,0.1264163,0.0159811,0.62005,0.8609,0.533,0.2304,0.4594
MOD13Q1_061__250m_16_days_NDVI_doy2000081000000_aid0001,_250m_16_days_NDVI,aid0001,2000-03-21,9216.0,0.2054,0.9622,"(0.2054,0.9622)",0.5601509,0.1381085,0.019074,0.6351,0.8978,0.5355,0.2054,0.459775
MOD13Q1_061__250m_16_days_NDVI_doy2000097000000_aid0001,_250m_16_days_NDVI,aid0001,2000-04-06,9216.0,0.069,0.9897,"(0.069,0.9897)",0.5483693,0.1352973,0.0183054,0.622525,0.88,0.5262,0.1973,0.450875
MOD13Q1_061__250m_16_days_NDVI_doy2000113000000_aid0001,_250m_16_days_NDVI,aid0001,2000-04-22,9216.0,0.0593,0.9578,"(0.0593,0.9578)",0.5443193,0.1335758,0.0178425,0.6164,0.8664,0.523,0.2016,0.4494
MOD13Q1_061__250m_16_days_NDVI_doy2000129000000_aid0001,_250m_16_days_NDVI,aid0001,2000-05-08,9216.0,0.0582,0.9445,"(0.0582,0.9445)",0.5469615,0.1580176,0.0249696,0.6443,0.9333,0.53515,0.1498,0.446
MOD13Q1_061__250m_16_days_NDVI_doy2000145000000_aid0001,_250m_16_days_NDVI,aid0001,2000-05-24,9216.0,0.052,0.9861,"(0.052,0.9861)",0.6144813,0.1214369,0.0147469,0.6844,0.8695,0.629,0.3732,0.5598
MOD13Q1_061__250m_16_days_NDVI_doy2000161000000_aid0001,_250m_16_days_NDVI,aid0001,2000-06-09,9216.0,0.0584,0.9873,"(0.0584,0.9873)",0.5657251,0.2368816,0.0561129,0.7923,0.9873,0.5862,0.0584,0.3648
MOD13Q1_061__250m_16_days_NDVI_doy2000177000000_aid0001,_250m_16_days_NDVI,aid0001,2000-06-25,9216.0,0.0471,0.9907,"(0.0471,0.9907)",0.7880827,0.1468385,0.0215615,0.8668,0.9907,0.8326,0.6462,0.778475
MOD13Q1_061__250m_16_days_NDVI_doy2000193000000_aid0001,_250m_16_days_NDVI,aid0001,2000-07-11,9216.0,0.1049,0.9889,"(0.1049,0.9889)",0.8313394,0.0803835,0.0064615,0.8774,0.9642,0.8466,0.7041,0.808
MOD13Q1_061__250m_16_days_NDVI_doy2000209000000_aid0001,_250m_16_days_NDVI,aid0001,2000-07-27,9216.0,0.0327,0.9923,"(0.0327,0.9923)",0.7536815,0.1377512,0.0189754,0.8496,0.9923,0.79105,0.4751,0.6996
MOD13Q1_061__250m_16_days_NDVI_doy2000225000000_aid0001,_250m_16_days_NDVI,aid0001,2000-08-12,9216.0,0.0403,0.9983,"(0.0403,0.9983)",0.6343995,0.2139715,0.0457838,0.823325,0.9983,0.67175,0.0403,0.4823
MOD13Q1_061__250m_16_days_NDVI_doy2000241000000_aid0001,_250m_16_days_NDVI,aid0001,2000-08-28,9214.0,0.0469,0.9991,"(0.0469,0.9991)",0.7854755,0.1438955,0.0207059,0.8683,0.9991,0.8263,0.6123,0.765025
